Nome strumento,Baud rate,Bytes,Cavo per LP-50,Cavo per PC,Connettore strumento,Immagine,Ultimo aggiornamento
ACL,9600,,,Protocolli%20di%20comunicazione%20ff78f34302354e16828c08a08ca10d98/Protocolli%20di%20comunicazione%2062678d6d01bb4c878abb49787061d3e7/ACL%20f9eb8bba31d24c04bd49ec41bb5e1645/M-F_invertito.jpg,DB9 FEMMINA,Protocolli%20di%20comunicazione%20ff78f34302354e16828c08a08ca10d98/Protocolli%20di%20comunicazione%2062678d6d01bb4c878abb49787061d3e7/ACL%20f9eb8bba31d24c04bd49ec41bb5e1645/ACL.jpg,17/09/2020 9:30 (GMT+2)
ACS-M,9600,42,,Protocolli%20di%20comunicazione%20ff78f34302354e16828c08a08ca10d98/Protocolli%20di%20comunicazione%2062678d6d01bb4c878abb49787061d3e7/ACL%20f9eb8bba31d24c04bd49ec41bb5e1645/M-F_invertito.jpg,DB9 FEMMINA,Protocolli%20di%20comunicazione%20ff78f34302354e16828c08a08ca10d98/Protocolli%20di%20comunicazione%2062678d6d01bb4c878abb49787061d3e7/ACS-M%200cabd7c4dd5d4cdaa19aba83f1965354/ACS-M.jpg,15/01/2020 16:30 (GMT+1)
AJ / AJH,1200,14 / 15 / 16,,,5 PIN FEMMINA,Protocolli%20di%20comunicazione%20ff78f34302354e16828c08a08ca10d98/Protocolli%20di%20comunicazione%2062678d6d01bb4c878abb49787061d3e7/AJ%20AJH%20a0b8396ab0ef4e0e8bd9e4cdb99726f1/AJ.jpg,26/06/2019 12:30 (GMT+2)
APC-B,,,Protocolli%20di%20comunicazione%20ff78f34302354e16828c08a08ca10d98/Protocolli%20di%20comunicazione%2062678d6d01bb4c878abb49787061d3e7/APC-B%208daf5f9bf76c47aca68e437e4a86ab6c/COLLEGAMENTI_E_SALVATAGGIO.txt,,,Protocolli%20di%20comunicazione%20ff78f34302354e16828c08a08ca10d98/Protocolli%20di%20comunicazione%2062678d6d01bb4c878abb49787061d3e7/APC-B%208daf5f9bf76c47aca68e437e4a86ab6c/APC-B.jpg,13/10/2020 9:00 (GMT+2)
AWX,9600,80,,Protocolli%20di%20comunicazione%20ff78f34302354e16828c08a08ca10d98/Protocolli%20di%20comunicazione%2062678d6d01bb4c878abb49787061d3e7/AWX%2070a2c8aecd10441d8c2328a7a3055c74/M-F_pin-to-pin.jpg,DB9 FEMMINA,Protocolli%20di%20comunicazione%20ff78f34302354e16828c08a08ca10d98/Protocolli%20di%20comunicazione%2062678d6d01bb4c878abb49787061d3e7/AWX%2070a2c8aecd10441d8c2328a7a3055c74/AWX.jpg,15/05/2019 9:30 (GMT+2)
BABY 02,9600,586,,Protocolli%20di%20comunicazione%20ff78f34302354e16828c08a08ca10d98/Protocolli%20di%20comunicazione%2062678d6d01bb4c878abb49787061d3e7/AWX%2070a2c8aecd10441d8c2328a7a3055c74/M-F_pin-to-pin.jpg,DB9 FEMMINA,Protocolli%20di%20comunicazione%20ff78f34302354e16828c08a08ca10d98/Protocolli%20di%20comunicazione%2062678d6d01bb4c878abb49787061d3e7/BABY%2002%20aba19451fcc641a881b6ac776e50e144/BABY_02.jpg,15/05/2019 9:30 (GMT+2)
BILL,9600,85,,Protocolli%20di%20comunicazione%20ff78f34302354e16828c08a08ca10d98/Protocolli%20di%20comunicazione%2062678d6d01bb4c878abb49787061d3e7/ACL%20f9eb8bba31d24c04bd49ec41bb5e1645/M-F_invertito.jpg,DB9 FEMMINA,Protocolli%20di%20comunicazione%20ff78f34302354e16828c08a08ca10d98/Protocolli%20di%20comunicazione%2062678d6d01bb4c878abb49787061d3e7/BILL%205bc0806af61c4dd6abd61f0fd1033da2/BILL.jpg,26/07/2019 11:00 (GMT+2)
JSB,9600,72,,Protocolli%20di%20comunicazione%20ff78f34302354e16828c08a08ca10d98/Protocolli%20di%20comunicazione%2062678d6d01bb4c878abb49787061d3e7/ACL%20f9eb8bba31d24c04bd49ec41bb5e1645/M-F_invertito.jpg,DB9 FEMMINA,Protocolli%20di%20comunicazione%20ff78f34302354e16828c08a08ca10d98/Protocolli%20di%20comunicazione%2062678d6d01bb4c878abb49787061d3e7/JSB%20f8b9315f6e014b9cb89d110f3de12692/JSB.jpg,15/05/2019 9:30 (GMT+2)
JSC,9600,72,,Protocolli%20di%20comunicazione%20ff78f34302354e16828c08a08ca10d98/Protocolli%20di%20comunicazione%2062678d6d01bb4c878abb49787061d3e7/ACL%20f9eb8bba31d24c04bd49ec41bb5e1645/M-F_invertito.jpg,DB9 FEMMINA,Protocolli%20di%20comunicazione%20ff78f34302354e16828c08a08ca10d98/Protocolli%20di%20comunicazione%2062678d6d01bb4c878abb49787061d3e7/JSC%20786a2ac5a0c64ed8be941ed02d95e6a5/JSC.jpg,15/05/2019 9:30 (GMT+2)
JSD,9600,72,,Protocolli%20di%20comunicazione%20ff78f34302354e16828c08a08ca10d98/Protocolli%20di%20comunicazione%2062678d6d01bb4c878abb49787061d3e7/ACL%20f9eb8bba31d24c04bd49ec41bb5e1645/M-F_invertito.jpg,DB9 FEMMINA,Protocolli%20di%20comunicazione%20ff78f34302354e16828c08a08ca10d98/Protocolli%20di%20comunicazione%2062678d6d01bb4c878abb49787061d3e7/JSD%20e6418047aa75490bb474e165f8f91eb8/JSD.jpg,15/05/2019 9:30 (GMT+2)
